Customer ID,Name,Email,Phone Number,Address,City,State,Zip Code,Country,Date of Birth,Account Created,Last Login,Total Purchases,Total Spend,Customer Satisfaction,Preferred Contact Method,Subscription Status,Loyalty Program Member,Loyalty Points
6a45ddf4-6c92-4193-80cc-cdde8a91c069,Maurice Adkins,brandigonzalez@watts.com,001-198-182-1638x62021,"8745 Morgan Island Suite 425
North Sarah, TX 94859",Port Joseph,Tennessee,77735,Korea,2006-02-17,2021-05-30,2024-02-19,20,6925,Satisfied,Text,Active,No,2237
f053d47f-98b8-4b7d-9ebe-4631dda41e0e,Benjamin Turner,reginald48@anderson.net,+1-799-894-7624x5435,"17932 Parrish Trail Suite 502
Fergusonburgh, RI 90246",Sandersshire,Wyoming,01437,Samoa,1998-03-21,2024-04-03,2023-11-12,14,8536,Dissatisfied,Text,Active,No,4632
2f4f7261-02db-4f83-a8de-0c534dd3cb83,Kristen Smith,melissadonaldson@yahoo.com,958.664.8645x473,"771 Chad Springs
North Robertchester, MA 34324",Lake Michelle,Nebraska,39900,Saint Vincent and the Grenadines,2002-10-11,2022-10-07,2024-05-06,41,1413,Very Satisfied,In-Person,Cancelled,Yes,1307
38a905c7-76d1-4871-92b8-fc069c0ee77b,Jennifer Harmon,kurt76@yahoo.com,(818)460-9934x4010,"855 Jason Isle
Woodsfort, MO 05738",Lake Katie,Kansas,07438,Fiji,1965-05-27,2022-08-23,2024-06-06,21,6232,Satisfied,In-Person,Inactive,Yes,3980
9bdf665c-eab0-44ba-8cf5-404e11c82f14,Carla Perry,rgraham@fitzpatrick.org,(319)838-1113,"84710 Julie Tunnel Apt. 223
Willisfort, WI 16839",Port Michaelville,California,17044,Tanzania,1968-10-11,2017-01-21,2023-11-11,95,2646,Neutral,Email,Inactive,Yes,4916
f45e3e21-2d35-45a1-be6c-1992352aba5b,Ashley Turner,dmendez@turner-duran.com,001-013-519-9184x9929,"22978 Bryan Garden
Port James, TX 44961",East Barbaraberg,Maine,23666,Oman,1981-03-06,2020-01-29,2023-10-08,42,5009,Satisfied,In-Person,Active,No,1119
c5473618-ec38-4335-a5de-5dde810fe56d,Shannon Robles,sharonthomas@carroll-frank.com,161.279.9955x7581,"9812 Gray Mountains
Port Philipmouth, NV 54890",Port Dave,Illinois,95732,Turks and Caicos Islands,1951-11-08,2020-04-12,2024-07-02,79,9704,Neutral,In-Person,Cancelled,Yes,1855
1aaec8ce-0eae-409d-997d-8639db767240,Timothy Hoffman,tranrachel@gmail.com,(845)003-7441x927,"06441 James Prairie
Lake Selena, RI 22329",Port Nancyberg,West Virginia,10776,Bahrain,1958-07-03,2015-06-15,2023-12-15,84,6093,Dissatisfied,Text,Inactive,No,3529
bbb25d26-11d8-49d3-9aa0-46a11a5f970f,Jesse Coleman,ashleymcdonald@anderson-townsend.net,(248)691-0399x7789,"259 Goodman Crossing
New Ericberg, VT 31022",Wallburgh,California,50865,Portugal,1972-10-13,2020-09-23,2023-09-13,76,3034,Dissatisfied,Email,Inactive,No,272
ca4063c7-aa2e-475d-be58-64ff0dd407c2,Shannon Martin,millerdanielle@brown-smith.com,(392)263-7696x2735,"930 Marcus Junctions Suite 259
Brownland, OR 87854",Paulside,Montana,43912,Uruguay,1970-08-15,2019-06-26,2023-09-21,32,9983,Very Satisfied,Email,Inactive,Yes,4385
3591007c-77fb-4d48-b361-12a2d0ffed1b,Richard Cross,anthony11@walton.biz,147-846-5357,"805 Paul Keys Apt. 721
Natashamouth, KS 30661",Annettebury,West Virginia,55863,Togo,1980-02-18,2021-12-05,2023-11-24,84,8339,Neutral,Phone,Active,Yes,922
06c8d76e-f775-4a4c-861d-13b251279c59,Jordan Harris,harrisonmicheal@baker.biz,935.560.7623x911,"49445 Edwards Glens
Cruzfort, NY 98639",Amberborough,Massachusetts,81923,Antarctica (the territory South of 60 deg S),2006-01-06,2017-03-11,2024-02-05,14,7648,Neutral,Text,Active,No,1129
3446fce3-720d-4f69-afd0-d683b9f05016,Marvin Green,tiffany81@bush.org,063-498-1129x510,"032 Li Stream Apt. 383
Eduardoview, IA 80569",Moniquefort,Virginia,39971,United States Virgin Islands,1957-12-06,2018-08-11,2024-05-22,49,2426,Dissatisfied,Phone,Inactive,No,3170
2127cc05-b235-412e-a972-0d49edc7d020,Erik Hernandez,igriffin@yahoo.com,935-529-8848,"PSC 5137, Box 5947
APO AA 30598",Valeriechester,Minnesota,09360,Ghana,1952-05-28,2016-07-11,2024-05-25,100,3340,Neutral,Email,Inactive,No,868
c905e447-555b-4582-a0e7-32e5a8769c02,Mrs. Dawn Miles MD,jstewart@harrison.biz,686.148.9806x4503,"8268 Aaron Fields
North Alisonburgh, TX 56281",Port Robert,Rhode Island,67283,Nauru,1952-01-25,2022-01-18,2023-08-18,64,118,Satisfied,Text,Active,No,530
8f6d3c17-bdfb-437b-b5f2-f07b64e52439,Jonathan Harper,ohill@adams.com,+1-815-450-8443x02383,"463 Mark Pine
Carterside, NH 16176",South Jeremyhaven,Kentucky,95570,Cuba,1963-02-13,2015-06-11,2023-09-24,3,6148,Very Dissatisfied,Phone,Inactive,No,1132
69dca9d3-4bad-419b-88e8-0e5a86133fea,Victor Stewart,raysteven@gmail.com,001-789-188-4847x6626,"662 Stephen Green Suite 519
Lawsontown, MT 27097",Smithchester,Washington,76057,Iran,1990-09-05,2021-10-03,2024-02-01,27,8988,Very Dissatisfied,In-Person,Cancelled,No,3131
da4c6a93-d7b4-4554-b829-9e4eed6595f5,Brandon Swanson,philip87@francis-avila.com,644-574-6570,"446 Diaz Knoll Suite 680
Lake Lisa, IL 22708",West Cassiehaven,New Mexico,16413,Paraguay,1946-10-15,2022-05-21,2023-07-31,32,8286,Satisfied,Phone,Active,No,1347
61bbe675-f205-4f91-b13f-72ac15140e0a,James Strong,kjohnson@hotmail.com,(250)906-4622,"563 Ruth Well
Tapiaberg, MD 48201",East Christopherchester,Colorado,58149,Libyan Arab Jamahiriya,1998-12-08,2014-08-28,2024-02-17,40,6719,Neutral,Phone,Active,Yes,3698
d22dc0ff-5e6b-49b2-b41f-6f0486d92428,Tonya Taylor,lucas54@gmail.com,001-664-858-3501x35755,"0541 Obrien Shores Apt. 524
Saunderston, SD 98996",Lake Evanstad,Alaska,69671,Switzerland,2001-10-11,2020-08-17,2023-08-27,17,4251,Very Satisfied,In-Person,Cancelled,No,10
f892b4fd-e6ab-4c0c-949c-02684bbef98c,Sarah Torres,brenda05@hotmail.com,(098)076-1959,"3431 Greg Stream Apt. 635
Port Williamhaven, HI 74914",North Rachelchester,New Hampshire,42234,Nepal,1962-05-09,2021-05-03,2024-01-31,61,6235,Very Satisfied,In-Person,Cancelled,No,1462
c3b16f7c-2c54-412d-97bf-37dcb3008fc6,Brett Ramirez,pittmanjeanette@jones.com,001-047-013-7183,"Unit 5459 Box 5693
DPO AE 34102",Danielsville,Michigan,94908,Jamaica,1979-01-27,2019-03-30,2023-10-22,43,8163,Neutral,Email,Active,No,546
53a5cb73-fd10-4747-aa21-3c0974e87052,Levi Hughes,fjackson@gmail.com,066.863.7719x4637,"92350 Rivera River Suite 081
West Davidburgh, MD 49005",North Victoriahaven,Oregon,83618,Syrian Arab Republic,1981-06-28,2020-09-14,2023-11-13,39,2089,Neutral,Email,Active,Yes,1245
b6f0c83b-9c68-4bd2-86aa-6958184116c4,Louis Miller,ajohnson@hotmail.com,838.275.3623,"35686 Oliver Crescent Apt. 659
Lake Scott, VA 50900",Sherifort,New Mexico,43300,Japan,1945-11-27,2016-09-13,2024-01-21,39,2355,Very Satisfied,Phone,Cancelled,No,2267
f623c44e-bc10-42aa-aaee-2f07dbe46f3b,Jonathan Reilly,hollyrodriguez@hotmail.com,6843060837,"7887 Holloway Courts
New Miguel, OR 97466",Angelahaven,Arizona,85736,Canada,1999-05-20,2023-12-03,2024-05-19,8,8579,Very Dissatisfied,Phone,Active,Yes,3775
ed4d0955-f92a-409b-8700-e737e46b9d59,Samantha Barrett,schneiderjeffery@patterson.org,(542)462-0196x58019,"4869 Mendez Extension Suite 393
South Emilychester, VA 60856",North Stephanie,Florida,43211,Paraguay,1944-05-18,2023-01-17,2023-07-29,71,1741,Very Dissatisfied,In-Person,Cancelled,Yes,4029
1b17cbd3-fca9-4f33-9f52-79a3d443ec87,Randy Dawson,kathryn29@daniels-gilmore.com,587.119.2880x904,"284 Gonzalez Green Apt. 368
Ryanbury, MS 32371",West Crystal,Wyoming,73686,American Samoa,1990-04-26,2019-04-11,2023-12-22,87,6056,Dissatisfied,Email,Inactive,No,3554
c9b6f097-0e2e-47cd-8781-70275359aed4,Kristin Washington,paulmartin@hotmail.com,196.138.4718,"295 Christina Key
Lake Audreyfort, NJ 75244",Port Heidimouth,New Hampshire,03057,Latvia,1983-03-31,2024-07-16,2024-05-12,72,8753,Dissatisfied,In-Person,Active,No,2918
a1898c87-f0e2-411a-8ad8-e93da50b8b11,Veronica Sanchez,maureenlong@davidson.com,001-584-752-8026x0745,"3181 Pamela Shore
West Laurenville, NY 18938",New Jameshaven,New Jersey,35283,Brunei Darussalam,1956-12-27,2020-09-13,2024-03-25,59,5788,Very Dissatisfied,Text,Active,Yes,2528
18d6b52e-a76d-4c4d-a90e-bc4c97a2149a,Jonathan Stone,brandon87@yahoo.com,910-870-6186x430,"618 Chambers Spur
East Manuelville, RI 02735",New Randall,Vermont,19637,Saint Lucia,1958-03-24,2023-12-19,2024-01-19,13,1903,Satisfied,Text,Inactive,No,4001
8b9659b1-1737-4e1f-8e71-3021f285c741,Rebecca Schroeder,michaelthompson@watts-carter.org,867.855.1487,"PSC 6509, Box 0969
APO AE 81945",Mirandaside,South Dakota,52855,Bangladesh,2003-01-17,2016-07-03,2023-11-11,35,5558,Satisfied,Email,Active,Yes,856
43d839c9-2ee6-44f2-906d-06f32ceecd35,Madison Evans,sarahacevedo@yahoo.com,(559)242-7569x507,"02835 Robert Divide Apt. 712
Ashleyborough, LA 21512",Boydchester,Nevada,05594,Angola,1946-01-07,2015-04-03,2023-08-16,8,6943,Neutral,Email,Inactive,Yes,3514
8fde6b44-989e-45be-94e0-a2edd9a2a3b3,Karen Moody,donnalowery@schneider.org,314-595-3585,"8541 Priscilla Stravenue
New Tonyastad, NC 14395",Morrowbury,Delaware,90488,Germany,1956-06-10,2020-12-22,2023-10-21,12,7764,Very Dissatisfied,In-Person,Cancelled,Yes,4467
7c92bfaf-2f64-49ad-8590-0677cb31e6fc,Lisa Taylor,jchandler@cunningham-mccall.com,+1-616-196-6068x90705,"Unit 1477 Box 7649
DPO AA 23895",Christinaside,Vermont,56849,Yemen,1971-09-29,2014-12-04,2024-07-25,75,9401,Very Satisfied,Phone,Inactive,Yes,603
4cd86743-1a52-4760-98ee-256b045a969c,John Cohen,james65@yahoo.com,001-377-432-0376x737,"1438 George Garden
Woodardfort, MA 64956",Dawnborough,Oklahoma,61188,Tunisia,1980-04-15,2020-12-13,2024-05-26,38,3946,Dissatisfied,Text,Cancelled,No,3315
4f9aeab4-89ad-4789-a3f3-aba2ec21e190,Crystal Garcia,kdouglas@lee.info,+1-002-375-9023,"86016 Miller Stream
South Anna, ND 63287",East Thomas,Alabama,59689,Uruguay,1983-12-18,2017-05-24,2023-10-02,35,8439,Very Satisfied,Email,Cancelled,No,3170
ccc6f819-f89c-4ad7-809c-5e2d069996d8,Leah Harris,george04@yahoo.com,+1-385-162-5363x07161,"8681 Jonathan Row Suite 439
Antoniochester, WY 18079",Port Juanmouth,West Virginia,33989,Netherlands,2002-07-28,2017-02-22,2024-04-20,90,5926,Dissatisfied,Text,Active,No,1177
8ad3a874-0fb6-4821-90e8-be1404a1d003,Darlene Schmitt,cruzwendy@yahoo.com,450-393-5068,"Unit 7771 Box 2506
DPO AA 82216",West Gabrielafort,Virginia,25520,Nigeria,1994-12-24,2018-09-06,2024-03-15,42,7960,Very Satisfied,Phone,Cancelled,Yes,1397
efe5bd5e-ec5f-4fc8-97ea-73d476ae66d5,Marissa Mooney,dawn21@savage-barrera.org,001-176-475-9151x9345,"844 Kevin Junction Suite 519
Briggsland, MN 47116",Karenville,Massachusetts,12782,Gambia,1980-08-26,2023-12-01,2024-02-06,3,5657,Very Satisfied,Text,Cancelled,No,3238
ee4f7276-df78-4303-9ec3-47d9fbc1882f,Casey Harrington,bryanevans@jones.com,235.232.4655x56122,"252 Phillips Greens
Millerchester, RI 21604",North Thomasside,Tennessee,59151,Saint Vincent and the Grenadines,1978-08-19,2019-08-12,2024-05-01,20,7109,Very Satisfied,In-Person,Inactive,Yes,2433
